"STATION","NAME","DATE","CDSD","CLDD","DP01","DP05","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1920-11","451","0","7","2","1","4","2","0","17","3","0","0","16","4","2.7","1.26","58","1274","843","3.07","4.3","36.9","43.6","30.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1920-12","451","0","10","3","0","9","2","2","26","13","0","0","-2","7","4.0","0.90","58","2337","1063","4.02","8.5","30.7","37.2","24.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-01","0","0","2","0","0","5","0","0","29","11","0","0","5","2","0.6","0.20","51","3456","1119","0.45","1.2","28.9","36.4","21.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-02","0","0","4","1","0","14","3","0","27","12","0","0","10","8","6.9","0.69","58","4471","1014","1.47","12.0","28.8","35.9","21.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-03","1","1","8","2","0","1","1","0","22","1","2","0","15","2","2.5","0.86","77","5200","729","3.93","2.5","41.5","52.7","30.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-04","6","4","10","2","0","2","2","0","6","0","11","0","22","3","4.0","0.87","82","5594","394","3.91","5.2","52.0","63.0","41.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-05","74","68","5","2","0",,"0","0","1","0","17","0","31",,"0.0","0.74","87","5825","230","2.14","0.0","59.8","71.2","48.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-06","262","187","6","1","1",,"0","0","0","0","27","1","38",,"0.0","1.90","100","5867","42","3.17","0.0","69.9","80.9","58.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-07","611","349","6","2","0",,"0","0","0","0","31","8","54",,"0.0","0.77","94","0","0","2.17","0.0","76.3","86.8","65.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-08","727","117","10","3","1",,"0","0","0","0","29","0","48",,"0.0","1.20","86","26","26","4.54","0.0","67.9","78.0","57.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-09","828","101","7","3","2",,"0","0","0","0","25","0","44",,"0.0","1.67","87","65","38","4.36","0.0","67.2","76.9","57.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-10","828","0","5","1","1",,"0","0","1","0","3","0","31",,"0.0","1.20","75","505","440","1.96","0.0","50.8","59.4","42.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-11","828","0","7","2","1","7","2","0","24","2","0","0","20","6","5.5","1.22","63","1362","857","3.33","8.4","36.4","42.8","30.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1921-12","828","0","6","1","0","14","4","0","29","12","0","0","7","4","4.4","0.54","53","2429","1067","1.63","9.3","28.6","35.6","21.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-01","0","0","4","1","0","13","2","3","31","19","0","0","-9","3","1.7","0.73","48","3774","1345","1.23","4.5","21.6","30.3","12.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-02","0","0","5","1","0","4","3","0","28","12","0","0","2","1","1.4","0.68","57","4835","1061","1.70","4.9","27.1","34.6","19.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-03","0","0","11","3","1","4","3","0","27","5","1","0","15","3","2.5","1.30","70","5736","901","3.99","6.3","35.9","45.0","26.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-04","2","2","7","2","2",,"0","0","9","0","3","0","27",,"0.3","1.53","80","6261","525","3.97","0.3","47.6","57.8","37.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-05","27","25","7","2","1",,"0","0","0","0","25","0","37",,"0.0","1.38","83","6390","129","2.93","0.0","61.6","72.0","51.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-06","146","119","5","1","0",,"0","0","0","0","28","1","46",,"0.0","0.66","93","6422","32","1.55","0.0","67.9","78.6","57.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-07","331","185","6","0","0",,"0","0","0","0","31","1","45",,"0.0","0.38","90","12","12","1.42","0.0","70.6","81.7","59.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-08","500","169","5","1","0",,"0","0","0","0","30","4","46",,"0.0","0.63","93","36","24","1.81","0.0","69.7","80.8","58.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-09","622","122","3","1","1",,"0","0","0","0","18","3","39",,"0.0","1.38","93","140","104","2.47","0.0","65.6","76.1","55.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-10","659","37","4","1","1",,"0","0","5","0","6","0","28",,"0.0","1.08","86","546","406","2.18","0.0","53.1","63.1","43.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-11","659","0","4","0","0","0","0","0","12","3","0","0","20","0","0.7","0.30","62","1261","714","1.34","1.5","41.2","47.8","34.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1922-12","659","0","4","1","0","17","1","2","30","13","0","0","-4","7","6.6","0.66","57","2439","1178","1.57","8.0","27.0","34.0","20.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-01","0","0","5","0","0","25","5","1","31","18","0","0","-3","8","4.0","0.40","44","3672","1233","1.67","13.9","25.2","32.0","18.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-02","0","0","3","0","0","7","16","2","27","17","0","0","-1","2","5.5","0.33","39","4935","1263","0.99","59.3","19.9","27.4","12.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-03","0","0","8","1","0","3","2","0","29","8","0","0","1","3","2.3","0.84","57","5984","1048","2.59","4.7","31.2","40.7","21.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-04","0","0","6","1","0",,"1","0","13","0","4","0","9",,"1.5","0.63","80","6579","595","1.67","1.5","45.2","57.0","33.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-05","2","2","6","4","0","1","1","0","4","0","15","0","28","2","2.0","0.82","80","6909","331","3.75","2.0","54.4","67.3","41.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-06","201","199","7","2","1",,"0","0","0","0","28","5","44",,"0.0","1.29","94","6942","32","2.87","0.0","70.6","81.3","59.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-07","372","170","8","5","2",,"0","0","0","0","31","1","52",,"0.0","1.24","91","0","0","4.93","0.0","70.5","80.9","60.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-08","480","108","4","1","1",,"0","0","0","0","28","0","40",,"0.0","1.85","87","58","58","2.73","0.0","66.6","76.8","56.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-09","546","66","8","2","1",,"0","0","0","0","18","0","36",,"0.0","1.06","84","210","151","4.03","0.0","62.1","71.2","53.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-10","546","0","4","0","0",,"0","0","6","0","5","0","24",,"0.0","0.49","76","719","509","1.39","0.0","48.6","59.0","38.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-11","546","0","5","0","0",,"0","0","18","0","0","0","22",,"0.0","0.48","62","1494","775","1.38","0.0","39.2","46.4","32.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1923-12","546","0","10","3","0","1","1","0","21","1","0","0","17","1","1.1","0.91","53","2396","902","3.75","1.4","35.9","42.2","29.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-01","0","0","6","0","0","17","3","7","28","19","0","0","-10","6","3.5","0.47","44","3749","1353","2.11","7.6","21.3","28.7","14.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-02","0","0","7","0","0","23","6","0","29","17","0","0","1","7","3.9","0.42","39","4956","1207","2.17","14.1","23.4","29.7","17.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-03","0","0","4","1","0","5","2","0","27","7","0","0","14","2","1.8","0.59","56","5976","1019","1.63","6.0","32.1","38.4","25.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-04","0","0","6","0","0","2","2","0","9","1","1","0","19","1","4.3","0.43","73","6526","550","2.23","7.1","45.2","55.0","35.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-05","0","0","8","3","0",,"0","0","1","0","4","0","31",,"0.0","0.78","74","6934","408","3.43","0.0","51.8","61.9","41.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-06","61","61","8","5","2",,"0","0","0","0","23","0","40",,"0.0","1.45","89","7020","87","5.14","0.0","64.1","75.0","53.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-07","203","142","5","0","0",,,"0","0","0","29","0","48",,,"0.31","89","31","31","1.17",,"68.6","78.5","58.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-08","350","147","3","1","0",,,"0","0","0","29","4","45",,,"0.75","94","66","35","1.38",,"68.6","79.5","57.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-09","370","20","8","3","0",,,"0","0","0","13","0","38",,,"0.92","85","293","227","2.94",,"58.1","67.0","49.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-10","372","1","2","1","0",,,"0","3","0","12","0","30",,,"0.53","76","602","309","0.83",,"55.1","66.6","43.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-11","372","0","3","0","0","0","0","0","17","3","2","0","16","0","0.5","0.21","72","1359","757","0.66","1.5","39.8","48.9","30.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1924-12","372","0","9","1","1","11","4","4","29","19","0","0","-11","3","1.8","1.09","56","2669","1310","2.86","5.9","22.7","29.7","15.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-01","0","0","3","0","0","29","4","2","31","21","0","0","-11","6","2.5","0.27","42","4036","1367","0.76","8.6","20.9","29.7","12.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-02","0","0","4","1","1","3","1","0","25","6","0","0","2","1","1.1","1.27","55","5028","992","1.92","1.6","29.6","37.5","21.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-03","0","0","6","2","0","5","2","1","25","3","1","0","-2","1","1.4","0.80","72","5922","894","2.50","3.0","36.2","46.3","26.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-04","22","22","4","3","0",,,"0","7","0","8","0","25",,,"0.65","86","6333","411","1.95",,"51.4","64.3","38.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-05","34","13","5","1","0",,,"0","1","0","12","0","32",,,"0.64","87","6695","361","1.31",,"53.8","65.9","41.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-06","234","200","6","0","0",,,"0","0","0","28","7","43",,,"0.32","95","6730","35","1.60",,"70.5","82.6","58.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-07","422","188","8","3","0",,,"0","0","0","30","4","50",,,"0.90","94","16","16","3.61",,"70.5","81.9","59.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-08","589","166","8","3","0",,,"0","0","0","30","1","48",,,"0.97","95","34","18","4.31",,"69.8","80.9","58.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-09","694","105","8","6","3",,,"0","0","0","20","0","42",,,"1.32","88","125","91","5.96",,"65.5","74.1","56.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-10","694","0","8","2","1","1","1","0","11","1","1","0","22","1","1.5","1.28","70","816","691","3.84","1.5","42.7","49.5","35.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-11","694","0","7","5","0","5","1","0","20","3","0","0","17","4","3.5","0.87","57","1669","853","3.87","5.4","36.6","43.4","29.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1925-12","694","0","3","0","0","11","3","1","30","17","0","0","-6","3","2.6","0.37","49","2885","1216","1.12","8.3","25.8","31.9","19.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-01","0","0","4","1","0","19","3","3","29","17","0","0","-6","5","3.5","0.54","45","4156","1271","1.67","10.4","24.0","31.2","16.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-02","0","0","10","2","1","26","9","0","28","16","0","0","1","8","4.8","1.12","44","5282","1125","3.64","21.2","24.8","31.9","17.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-03","0","0","9","1","1","10","4","0","27","13","0","0","3","2","1.3","1.16","57","6431","1149","2.67","6.4","27.9","35.7","20.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-04","0","0","9","1","0","3","2","0","22","2","3","0","19","6","3.8","0.80","81","7162","731","2.90","6.7","40.6","50.8","30.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-05","22","22","4","1","0",,,"0","1","0","16","0","28",,,"0.51","86","7411","249","1.74",,"57.7","70.1","45.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-06","61","39","4","2","1",,,"0","0","0","20","0","37",,,"1.03","87","7519","108","2.53",,"62.7","73.5","51.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-07","265","204","2","1","0",,,"0","0","0","31","5","48",,,"0.57","97","13","13","1.01",,"71.1","82.0","60.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-08","453","188","7","3","1",,,"0","0","0","31","1","52",,,"2.09","91","16","3","4.68",,"71.0","79.6","62.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-09","488","35","11","6","3",,,"0","0","0","17","0","33",,,"1.27","81","154","137","6.79",,"61.6","69.3","53.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-10","497","9","9","0","0",,,"0","5","0","4","0","28",,,"0.47","82","632","478","2.68",,"49.3","57.0","41.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-11","497","0","4","2","0","5","0","0","19","3","0","0","17","1","0.8","0.75","64","1468","836","2.32","3.1","37.1","44.3","30.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1926-12","497","0","4","0","0","8","2","0","31","16","0","0","1","4","4.5","0.45","46","2726","1258","1.03","6.1","24.4","31.0","17.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-01","0","0","3","1","0","18","3","4","30","18","0","0","-9","11","8.0","0.80","43","4024","1298","1.54","14.4","23.1","30.2","16.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-02","0","0","5","0","0","9","4","0","26","8","0","0","13","3","2.6","0.36","56","4961","936","1.34","8.3","31.5","38.6","24.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-03","0","0","7","0","0","0","0","0","18","1","1","0","15","0","0.0","0.40","70","5765","804","1.63","0.0","39.1","47.2","31.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-04","3","3","7","0","0",,,"0","12","0","4","0","26",,,"0.33","78","6330","565","1.65",,"46.3","56.4","36.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-05","27","24","8","3","0",,,"0","0","0","7","0","36",,,"0.93","86","6628","298","3.84",,"56.1","65.7","46.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-06","85","59","5","3","0",,,"0","0","0","19","2","41",,,"0.65","91","6754","126","2.60",,"62.7","72.6","52.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-07","263","178","8","4","2",,,"0","0","0","31","4","48",,,"1.40","92","11","11","5.20",,"70.4","80.2","60.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-08","317","54","2","0","0",,,"0","0","0","27","0","44",,,"0.28","86","67","56","0.52",,"64.9","75.5","54.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-09","418","101","9","5","1",,,"0","0","0","22","1","42",,,"1.28","92","142","75","5.03",,"66.0","75.6","56.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-10","430","13","3","2","0",,,"0","0","0","11","0","33",,,"0.89","82","474","331","1.84",,"54.7","64.6","44.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-11","430","0","9","3","0",,,"0","13","2","1","0","16",,,"0.98","71","1144","671","4.59",,"42.6","50.5","34.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1927-12","430","0","7","3","1","6","1","0","28","14","0","0","5","8","7.5","1.39","56","2277","1133","3.60","7.9","28.5","35.0","21.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-01","0","0","3","1","0","20","2","3","27","12","0","0","-4","8","1.5","0.64","52","3499","1223","1.42","4.8","25.6","32.3","18.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-02","0","0","6","0","0","6","1","0","25","10","0","0","2","3","2.0","0.33","43","4604","1105","1.33","3.3","26.9","34.3","19.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-03","0","0","4","0","0","3","1","0","26","6","1","0","10","3","2.5","0.39","75","5600","996","1.05","3.6","32.9","41.3","24.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-04","0","0","5","1","0",,,"0","19","0","3","0","22",,,"0.52","74","6248","647","1.62",,"43.4","53.3","33.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-05","15","15","6","2","0",,,"0","0","0","13","0","33",,,"0.84","84","6477","229","2.61",,"57.9","69.0","46.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-06","54","38","7","3","2",,,"0","0","0","19","0","38",,,"1.18","81","6592","115","4.22",,"62.5","71.3","53.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-07","266","212","6","2","2",,,"0","0","0","29","0","51",,,"1.73","89","9","9","4.75",,"71.6","80.9","62.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-08","454","187","3","1","0",,,"0","0","0","30","1","49",,,"0.82","91","26","17","1.60",,"70.8","80.1","61.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-09","487","33","4","2","0",,,"0","0","0","13","0","34",,,"0.81","86","276","250","2.11",,"57.8","68.4","47.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-10","498","11","8","0","0",,,"0","3","0","10","0","22",,,"0.30","85","612","335","2.19",,"53.8","63.1","44.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-11","498","0","9","1","0","4","1","0","12","0","1","0","17","1","1.2","0.55","70","1330","718","2.47","2.8","41.1","47.1","35.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1928-12","498","0","2","1","0","0","0","0","26","8","0","0","7","0","0.5","0.64","50","2365","1035","1.24","0.5","31.6","37.9","25.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-01",,,"10","2","0","23","4","5","27",,,,"-5","6","5.6","0.70",,,,"3.44","16.8",,,"8.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-02",,"0","3","0","0","20","3","1","28","21","0","0","-20","5","3.2","0.31","47",,"1242","0.78","7.6","20.6","27.7","13.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-03",,"0","10","2","0",,,"0","16","0","1","0","5",,,"0.53","72",,"735","3.58",,"41.3","52.2","30.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-04",,"9","10","2","1",,,"0","5","0","5","0","24",,,"1.78","82",,"500","4.56",,"48.6","58.8","38.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-05",,"51","6","3","0",,,"0","1","0","12","0","24",,,"0.75","89",,"331","3.09",,"55.9","66.7","45.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-06",,"90","8","3","0",,,"0","0","0","26","0","37",,,"0.77","87",,"78","3.29",,"65.4","76.4","54.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-07",,"249","4","1","0",,,"0","0","0","31","5","50",,,"0.80","94","9","9","1.63",,"72.7","83.6","61.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-08",,"141","3","0","0",,,"0","0","0","30","4","47",,,"0.17","91","36","26","0.62",,"68.7","80.8","56.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-09",,"95","6","0","0",,,"0","0","0","22","3","34",,,"0.43","92","165","129","1.74",,"63.9","74.9","52.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-10",,"0","8","3","1",,,"0","1","0","2","0","32",,,"2.67","71","582","417","4.96",,"49.9","58.8","41.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-11",,"0","5","4","0","3","1","0","16","6","0","0","4","2","1.7","0.95","64","1449","867","2.95","1.7","36.1","41.9","30.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1929-12",,"0","4","0","0","24","6","0","30","15","0","0","5","13","7.0","0.40","43","2663","1214","1.30","21.9","25.8","31.1","20.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-01","0","0","10","2","0","22","5","5","30","21","0","0","-9","5","4.0","0.59","48","3985","1323","3.09","13.0","21.2","28.2","14.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-02","0","0","2","0","0","7","0","0","20","8","0","0","3","3","0.9","0.37","66","4876","891","1.14","2.8","33.2","40.3","26.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-03","0","0","3","0","0","6","2","0","27","3","1","0","14","4","4.0","0.39","70","5839","962","1.10","8.7","34.0","42.7","25.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-04","10","10","6","2","1",,,"0","13","0","6","0","25",,,"1.16","85","6366","527","2.85",,"47.8","58.5","37.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-05","66","56","6","1","0",,,"0","0","0","17","0","36",,,"0.80","87","6574","209","2.44",,"60.1","70.6","49.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-06","225","159","4","3","1",,,"0","0","0","29","0","46",,,"1.34","88","6607","33","3.04",,"69.2","80.3","58.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-07","523","297","2","1","0",,,"0","0","0","31","12","46",,,"0.98","101","16","16","1.42",,"74.1","86.3","61.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-08","748","225","0","0","0",,,"0","0","0","31","7","48",,,"0.08","97","23","7","0.17",,"72.0","83.9","60.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-09","844","96","5","3","1",,,"0","0","0","26","1","38",,,"1.76","90","99","76","3.66",,"65.7","76.7","54.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-10","847","3","2","1","0",,,"0","9","1","8","0","25",,,"0.74","77","576","477","1.09",,"49.7","58.0","41.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-11","847","0","3","1","0","4","0","0","15","4","0","0","8","1","0.3","0.82","63","1309","733","1.21","0.8","40.6","48.3","32.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1930-12","847","0","3","0","0","21","3","0","27","16","0","0","2","5","3.0","0.24","49","2457","1148","0.80","8.5","28.0","33.6","22.3"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-01","0","0","4","0","0","18","4","0","31","9","0","0","6","2","10.0","0.18","46","3617","1159","0.63","17.5","27.6","34.2","21.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-02","0","0","4","0","0","7","3","0","26","4","0","0","10","2","2.1","0.31","51","4512","895","0.86","5.5","31.8","38.6","25.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-03","0","0","4","1","0","9","3","0","28","5","0","0","16","9","15.0","0.53","55","5506","994","1.39","18.5","32.9","39.0","26.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-04","0","0","5","0","0","0","0","0","8","0","9","0","26","0","0.0","0.44","79","5984","478","1.36","0.0","48.4","60.1","36.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-05","24","24","7","2","0","0","0","0","1","0","13","0","32","0","0.0","0.96","86","6257","272","3.32","0.0","57.0","67.8","46.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-06","204","180","5","2","1","0","0","0","0","0","25","5","43","0","0.0","1.41","97","6310","54","2.99","0.0","69.2","79.6","58.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-07","565","362","3","2","0","0","0","0","0","0","31","10","54","0","0.0","0.64","98","0","0","1.49","0.0","76.7","87.9","65.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-08","784","219","8","1","0","0","0","0","0","0","30","6","45","0","0.0","0.86","97","7","7","2.49","0.0","72.1","83.2","61.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-09","955","171","6","3","0","0","0","0","0","0","26","5","41","0","0.0","0.81","94","66","59","2.98","0.0","68.8","78.5","59.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-10","973","17","6","1","0","0","0","0","2","0","10","0","30","0","0.0","0.63","81","378","312","1.58","0.0","55.5","64.8","46.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-11","973","0","5","3","1","0","0","0","8","0","1","0","23","0","0.0","1.54","70","878","500","3.48","0.0","46.6","54.7","38.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1931-12",,,"5","1","0","0","1","0","19",,,,"13","0","5.0","0.65",,,,"1.85","5.0",,,"29.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1932-01","0","0","12","1","0","1","1","0","21","3","0","0","6","1","3.1","0.80","61",,"929","3.96","4.5","35.0","40.6","29.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1932-02","0","0","5","0","0","1","1","0","24","6","0","0","10","4","3.5","0.28","63",,"913","1.12","3.9","32.2","40.2","24.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1932-03","0","0","3","1","0",,"1","0","27","10","0","0","3",,"2.9","0.58","58",,"1109","1.39","4.0","29.2","36.4","22.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1932-04","0","0","6","0","0","0","0","0","14","0","5","0","21","0","0.3","0.49","76",,"615","1.51","0.3","44.5","55.3","33.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1932-05","39","39","9","4","1","0","0","0","1","0","18","0","32","0","0.0","2.01","88",,"202","5.37","0.0","59.6","70.5","48.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1932-06","169","130","5","2","0","0","0","0","0","0","29","0","43","0","0.0","0.52","86",,"19","1.83","0.0","68.9","80.0","57.8"
