"STATION","NAME","DATE","CDSD","CLDD","DP01","DP05","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1894-08","596","131","0","0","0",,,"0","0","0","30","2","46",,,"0.00","92","26","17","0.00",,"68.8","80.9","56.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1894-09","687","91",,,,,,"0","0","0","20","2","37",,,,"93","146","120",,,"64.0","74.2","53.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1894-10","687","0",,,,,,"0","2","0","4","0","28",,,,"75","582","436",,,"50.2","58.8","41.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1894-11","687","0",,,,,"4","0","24","3","0","0","14",,"2.0",,"64","1489","907",,"5.7","33.6","41.1","26.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1894-12","687","0",,,,,"0","1","25","7","0","0","-4",,"0.2",,"54","2530","1042",,"0.2","31.4","38.4","24.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-01","0","0",,,,,,"5","31","25","0","0","-7",,,,"47","3976","1446",,,"18.4","26.6","10.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-02","0","0",,,,,,"8","27","21","0","0","-10",,,,"51","5351","1374",,,"15.9","23.8","8.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-03","0","0",,,,,"1","1","29","8","0","0","-2",,"3.5",,"60","6509","1158",,"4.0","27.6","37.7","17.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-04","0","0",,,,,"0","0","7","0","5","0","25",,"0.0",,"79","7007","498",,"0.0","48.4","58.9","37.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-05","87","87",,,,,"0","0","1","0","18","3","32",,"0.0",,"91","7269","261",,"0.0","59.4","70.9","47.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-06","295","209",,,,,,"0","0","0","29","7","45",,,,"94","7286","17",,,"71.4","83.6","59.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-07","486","191",,,,,,"0","0","0","30","4","48",,,,"94","14","14",,,"70.7","82.9","58.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-08","659","172",,,,,,"0","0","0","31","2","48",,,,"91","28","14",,,"70.1","81.6","58.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-09","796","137","3","0","0",,,"0","0","0","23","6","37",,,"0.49","92","129","101","0.94",,"66.2","76.9","55.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-10","796","0","2","0","0",,"0","0","10","0","0","0","19",,"0.0","0.15","68","733","604","0.34","0.0","45.5","55.6","35.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-11","796","0","9","2","1",,,"0","21","2","0","0","8",,,"1.40","68","1484","750","3.42",,"36.7","46.3","27.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1895-12","796","0",,,,,,"1","24","12","0","0","-3",,,,"54","2625","1142",,,"28.2","35.7","20.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-01","0","0",,,,,,"2","28","12","0","0","-5",,,,"42","3650","1025",,,"25.0","31.1","19.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-02","0","0","4","1","0",,,"3","26","13","0","0","-5",,,"0.60","56","4731","1081","1.20",,"24.7","32.2","17.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-03","0","0",,,,,,"0","28","15","0","0","2",,,,"60","5864","1133",,,"28.5","36.2","20.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-04","25","25",,,,,"0","0","7","1","12","0","18",,"0.3",,"87","6278","414",,"0.3","52.1","62.1","42.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-05","94","69",,,,,,"0","0","0","26","0","44",,,,"86","6340","62",,,"65.2","75.7","54.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-06","222","128",,,,,,"0","0","0","28","0","45",,,,"88","6369","28",,,"68.3","78.6","58.0"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-07","425","203",,,,,,"0","0","0","30","1","49",,,,"90","13","13",,,"71.1","80.2","62.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-08","590","165",,,,,,"0","0","0","27","3","46",,,,"93","59","46",,,"68.8","78.2","59.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-09","614","24",,,,,,"0","1","0","10","0","32",,,,"83","292","233",,,"58.0","66.9","49.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-10","614","0",,,,,"0","0","10","0","2","0","23",,"0.0",,"75","872","580",,"0.0","46.3","56.2","36.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-11","614","0",,,,,"0","0","18","5","0","0","10",,"0.0",,"67","1660","789",,"0.0","38.7","46.8","30.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1896-12","614","0",,,,"16",,"2","25","10","0","0","-7","8",,,"53","2812","1152",,,"27.8","35.0","20.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-01","0","0","7","3","0","18","5","5","28","20","0","0","-16","11","7.0","0.77","54","4185","1373","2.79","13.0","20.7","28.5","12.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-02","0","0","4","0","0","28","3","0","27","14","0","0","1","9","4.5","0.45","45","5273","1088","1.46","12.0","26.1","32.1","20.1"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-03","0","0","10","3","0","6","3","0","26","3","0","0","11","4","2.5","0.79","61","6237","964","3.40","4.9","33.9","43.0","24.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-04","1","1","8","2","0",,,"0","15","0","4","0","16",,,"0.70","78","6845","608","3.07",,"44.4","54.9","33.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-05","10","9","10","5","0",,,"0","0","0","12","0","34",,,"0.80","81","7161","315","4.75",,"55.1","65.7","44.5"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-06","90","80","7","2","0",,,"0","0","0","24","3","39",,,"0.62","93","7245","84","2.69",,"64.9","77.0","52.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-07","418","328","5","1","1",,,"0","0","0","31","11","54",,,"1.07","102","0","0","1.66",,"75.6","87.8","63.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-08","525","106","7","2","0",,,"0","0","0","29","1","44",,,"0.96","92","43","43","2.93",,"67.0","79.9","54.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-09","646","121","3","1","0",,,"0","0","0","25","6","35",,,"0.73","96","148","105","1.35",,"65.8","80.8","50.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-10","666","19","5","1","0",,,"0","0","0","11","1","33",,,"0.52","91","491","342","1.78",,"54.6","67.6","41.6"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-11","666","0","8","4","1",,,"0","20","3","0","0","14",,,"1.55","62","1345","854","4.79",,"36.5","45.7","27.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1897-12","666","0","8","1","0","16","2","2","24","15","0","0","-4","3","2.8","0.54","53","2446","1101","1.99","5.9","24.9","32.6","17.2"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-01","0","0","7","4","0","22","4","0","28","11","0","0","3","6","3.1","0.98","58","3553","1107","4.00","10.1","26.7","33.6","19.8"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-02","0","0","7","1","0","17","3","3","24","15","0","0","-6","7","6.0","0.62","55","4687","1134","2.16","10.9","24.5","32.3","16.7"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-03","0","0","8","2","0",,,"0","19","1","1","0","10",,,"0.95","70","5411","724","2.94",,"38.8","49.8","27.9"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-04","0","0","6","0","0",,,"0","8","0","2","0","15",,,"0.37","72","6005","594","1.57",,"45.2","56.0","34.4"
"USC00200230","ANN ARBOR UNIVERSITY OF MI, MI US","1898-05","18","18","6","2","0",,,"0","0","0","18","0","33",,,"0.57","79","6226","220","2.21",,"58.5","69.4","47.5"
